Check,Hypothesis,DV,Coefficient,P_value,Significance,N_obs
Excl. DocMorris 2023,H1_Stock_Price,Stock_Price_Movement_%,-16.6364,0.4563,ns,54
Excl. DocMorris 2023,H2_Revenue_Growth,Revenue_Growth_%,2.907,0.8584,ns,54
Excl. DocMorris 2023,H3_Gross_Margin,Gross_Margin_%,-0.3785,0.8762,ns,54
Excl. Boohoo,H1_Stock_Price,Stock_Price_Movement_%,-43.0355,0.2918,ns,51
Excl. Boohoo,H2_Revenue_Growth,Revenue_Growth_%,-0.8848,0.9469,ns,51
Excl. Boohoo,H3_Gross_Margin,Gross_Margin_%,-0.2455,0.919,ns,51
Excl. DocMorris 2023 + Boohoo,H1_Stock_Price,Stock_Price_Movement_%,-15.343,0.5153,ns,50
Excl. DocMorris 2023 + Boohoo,H2_Revenue_Growth,Revenue_Growth_%,1.9559,0.9059,ns,50
Excl. DocMorris 2023 + Boohoo,H3_Gross_Margin,Gross_Margin_%,-0.0399,0.9876,ns,50
